wsn430-56.euratech.iot-lab.info,b2f6
wsn430-64.euratech.iot-lab.info,bf1c
m3-362.grenoble.iot-lab.info,2654
m3-381.grenoble.iot-lab.info,1553
wsn430-82.grenoble.iot-lab.info,1bff
wsn430-86.grenoble.iot-lab.info,c598
wsn430-87.grenoble.iot-lab.info,cd1b
wsn430-12.rennes.iot-lab.info,b429
wsn430-45.rennes.iot-lab.info,c7c8
wsn430-63.rennes.iot-lab.info,b469
wsn430-76.rennes.iot-lab.info,b0c1
wsn430-109.rennes.iot-lab.info,cb1b
wsn430-112.rennes.iot-lab.info,c409
wsn430-158.rennes.iot-lab.info,b69e
wsn430-160.rennes.iot-lab.info,b5df
